Answer,Points
กฎการหาค่าความสัมพันธ์ที่จะจัดไว้ว่าหากเราซื้อสินค้า A จะซื้อสินค้า B ด้วย ซึ่งเป็นการศึกษาหรือวิเคราห์พฤติกรรมผู้บริโภค,5
การวิเคราะห์หาความสัมพันธ์ของข้อมูลเป็นการหาความสัมพันธ์จากชุดข้อมูลโดยผลลัพธ์จะออกมาในรูปแบบที่เป็นกฎหรือเป็นความถี่,5
กฎความสัมพันธ์ที่ต้องวิเคราห์พฤติกรรมของที่เรามักจะซื้อร่วมกันหรือคู่กันถ้าเราซื้อสินค้า A ก็จะซื้อสินค้า B ตาม,5
เป็นกฎความสัมพันธ์ในการหาความสัมพันธ์ระหว่างสิ่งต่าง ๆ การคาดเดา การพยากรณ์ การซื้อของหรือไม่ซื้อหากจะซื้อของสิ่งนี้จะซื้อสิ่งนี้ตามไปด้วย,5
เป็นการหาความสัมพันธ์ของข้อมูลเพื่อหาความสัมพันธ์หรือข้อมูลที่เกิดขึ้นด้วยกันบ่อย ๆ การวิเคราะห์ตะกร้าสินค้าวิเคราะห์ชุดข้อมูลร้านขายของเพื่อหาสินค้าที่ลูกค้าซื้อคู่กันบ่อย ๆ ว่ามีอะไรบ้าง,5
เป็นกฎหาค่าความสัมพันธ์ของเหตุการณ์นั้น ๆ เช่น การเลือกซื้อสินค้าต่าง ๆถ้าซื้อโค้กก็จะซื้อน้ำแข็ง ซื้อโค้กก็จะซื้อแก้วนำมาหาค่าความเชื่อมั่น,5
กฎหาความสัมพันธ์กันของข้อมูลขนาดใหญ่โดยใช้โมเดลโดยการนำไปใช้กับ Market Basket เพื่อหาความสัมพันธ์ของสินค้าที่ลูกค้าหรือเพื่อนำไปประเมินข้อมูลและจัดโปรโมชันทางการตลาด,5
เป็นกฎความสัมพันธ์ที่หาข้อมูลจากชุดข้อมูลใหญ่โดยหาความเชื่อมโยงในการซื้อของที่เรียกว่า Basket Analysis เพื่อเอาความสัมพันธ์นั้นมาเป็น rule base ในการซื้อสินค้าเพื่อจัดโปรโมชันหรือวางสินค้าใกล้ ๆ กัน,5
การหาความสัมพันธ์ของข้อมูลซึ่งนิยมใช้กับระบบการวิเคราะห์ตลาดลูกค้า A ซื้อ ขนมปัง นม เนย ลูกค้า B ซื้อ นม ขนมปัง น้ำเปล่า แสดงให้เห็นถึงความสัมพันธ์ของขนมปังและนมทางกฎ Association rule จะแทนขนมปังเป็น LHSและจะแทนนมเป็น RHS,5
การหากฎความสัมพันธ์ค้าหาความสัมพันธ์จากชุดข้อมูลที่มีอยู่,5
กฎของการจัดกลุ่มความสัมพันธ์ของค่านั้น ๆ ที่มีความเหมือนกันให้อยู่ในหมวดหมู่หรือกลุ่มเดียวกันเพื่ออธิบายถึงความสัมพันธ์ การจัดหมวดหมู่ความสัมพันธ์ของการซื้อสินค้าจากพฤติกรรม,5
กฎความสัมพันธ์ที่ใช้อธิบายความสัมพันธ์ของการเลือก การเลือกซื้อสินค้าชนิดหนึ่งความสัมพันธ์ที่ว่าคือเมื่อซื้อสินค้าอย่างนึง จะซื้ออะไรมาเป็นคู่กันกับของที่หยิบแล้วหยิบขนมปังแล้วจะหยิบเนยหรือแยมไปด้วย,5
การค้นหาข้อมูลที่ซ่อนอยู่ในห้องข้อมูลขนาดใหญ่เพื่อหาความสัมพันธ์ของข้อมูลโดยมีการใช้กฎมากำหนดและหาค่าสนับสนุนค่าความเชื่อมั่นค่าลิฟต์การซื้อสินค้าในร้านค้าว่ามีการซื้อสินค้าใดคู่กันมากที่สุด,5
